fecha,servicio,tienda,ventas
5/16/2020,Pro,tienda_A,3774
1/4/2021,Pro,tienda_A,27880
9/17/2020,Pro,tienda_A,27829
6/4/2020,Pro,tienda_A,25363
2/17/2021,Pro,tienda_A,23696
1/1/2021,Pro,tienda_A,2431
12/1/2020,Pro,tienda_A,28484
5/13/2020,Pro,tienda_A,23661
5/7/2021,Pro,tienda_A,22215
9/8/2020,Pro,tienda_A,30588
11/17/2020,Pro,tienda_A,29290
3/7/2020,Pro,tienda_A,3914
2/1/2021,Pro,tienda_A,29017
3/14/2021,Pro,tienda_A,4316
2/10/2020,Pro,tienda_A,23502
12/4/2020,Pro,tienda_A,24052
3/10/2020,Pro,tienda_A,24567
9/5/2020,Pro,tienda_A,4456
6/30/2020,Pro,tienda_A,28582
3/4/2020,Pro,tienda_A,24892
5/24/2021,Pro,tienda_A,25007
5/15/2021,Pro,tienda_A,3894
3/27/2020,Pro,tienda_A,16207
5/1/2021,Pro,tienda_A,2539
1/13/2021,Pro,tienda_A,28751
6/22/2020,Pro,tienda_A,28899
5/8/2020,Pro,tienda_A,18915
6/9/2021,Pro,tienda_A,27252
1/6/2021,Pro,tienda_A,25242
6/21/2021,Pro,tienda_A,28692
5/31/2020,Pro,tienda_A,3735
9/7/2020,Pro,tienda_A,24685
11/18/2020,Pro,tienda_A,27960
7/15/2020,Pro,tienda_A,27627
7/24/2020,Pro,tienda_A,21230
5/26/2020,Pro,tienda_A,24053
2/15/2020,Pro,tienda_A,3513
2/3/2020,Pro,tienda_A,23553
2/11/2020,Pro,tienda_A,23708
12/18/2020,Pro,tienda_A,22219
