MediaCode,name_medium,code_break,break_date,beginbreak_theoretical,type_break,format_break,class_break,type_sport,name_target,grp_ForecastPro_Estimate,grp_LIVE7,program_before,program_before_type1,program_before_type2,program_after,program_after_type1,program_after_type2,break_duration
TV,UNE,FI26,20210505,18:25:59,Off prime,Ecran billboard,bb,_N/A,FEM 25-54,1.995720,null,DEMAIN NOUS APPARTIENT,FICTION,SERIE,DEMAIN NOUS APPARTIENT,FICTION,SERIE,10
TV,UNE,NW2,20210122,20:15:00,Prime,Ecran normal,normal,_N/A,PRA 18-44,3.253316,1.060000,SEQUENCE,AUTRES,SEQUENCE,METEO,INFORMATION,METEO,135
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,PRA AVEC ENFANT,2.042400,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
TV,UNE,MZ4,20220628,14:49:17,Off prime,Ecran billboard,bb,_N/A,15+ GS 1-4,1.725658,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO10,20210117,26:06:11,Off prime,Ecran normal,normal,_N/A,FEM 25-44,0.025792,0.250000,Une brique dans le ventre,DIVERTISSEMENT,MAGAZINE,BOUCLE,AUTRES,BOUCLE,240
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,PRA 18-44,1.152074,0.410000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,MZ3,20221214,14:06:40,Off prime,Ecran billboard,bb,_N/A,18-24,0.307143,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO2,20230625,22:13:55,Prime,Ecran normal,normal,_N/A,FEM 25-44,0.670408,0.310000,Peur sur le lac,FICTION,SERIE,PROMOTION DE LA CHAINE,AUTRES,SEQUENCE,210
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,FEM 18-54 GS 1-4,3.760584,3.370000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
"TV,UNE,NW3,20240105,20:10:30,Prime,Ecran normal,normal,_N/A,4+,4.335484,5.780000,METEO,INFORMATION,METEO,""Laurent, un prince à l'écart"",DIVERTISSEMENT,MAGAZINE,150"
TV,UNE,SOC,20210308,22:55:38,Off prime,Ecran normal,inner,_N/A,35-54,2.343371,1.760000,Baby phone,FICTION,FILM,Baby phone,FICTION,FILM,180
TV,UNE,FI26,20210505,18:25:59,Off prime,Ecran billboard,bb,_N/A,FEM 18-54 GS 1-4,1.310633,null,DEMAIN NOUS APPARTIENT,FICTION,SERIE,DEMAIN NOUS APPARTIENT,FICTION,SERIE,10
TV,UNE,NW2,20210122,20:15:00,Prime,Ecran normal,normal,_N/A,18-34,2.400980,1.490000,SEQUENCE,AUTRES,SEQUENCE,METEO,INFORMATION,METEO,135
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,FEM 25-54,2.435700,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
TV,UNE,MZ4,20220628,14:49:17,Off prime,Ecran billboard,bb,_N/A,PRA 18-54 GS 1-4,1.301095,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO10,20210117,26:06:11,Off prime,Ecran normal,normal,_N/A,18-54 GS 1-4,0.174528,0.000000,Une brique dans le ventre,DIVERTISSEMENT,MAGAZINE,BOUCLE,AUTRES,BOUCLE,240
TV,UNE,SOA,20240310,21:09:43,Prime,Ecran normal,inner,_N/A,FEM 25-44,1.465438,0.710000,Vigil,FICTION,SERIE,Vigil,FICTION,SERIE,180
TV,UNE,MZ3,20221214,14:06:40,Off prime,Ecran billboard,bb,_N/A,12-34,0.435714,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
TV,UNE,SO2,20230625,22:13:55,Prime,Ecran normal,normal,_N/A,HOM 18-34,0.532653,0.020000,Peur sur le lac,FICTION,SERIE,PROMOTION DE LA CHAINE,AUTRES,SEQUENCE,210
TV,UNE,VI8,20230907,09:38:00,Off prime,Ecran normal,inner,_N/A,FEM 18-54 GS 1-4,1.400000,null,C'EST VOUS QUI LE DITES,DIVERTISSEMENT,MAGAZINE,C'EST VOUS QUI LE DITES,DIVERTISSEMENT,MAGAZINE,140
TV,UNE,NW1,20230814,20:01:15,Prime,Ecran normal,normal,_N/A,15+ GS 1-4,5.967883,5.960000,WALLONIE EN FAMILLE,AUTRES,SEQUENCE,L'AGENDA CINE,DIVERTISSEMENT,MAGAZINE,240
TV,UNE,M1BCD,20220226,12:57:15,Off prime,Ecran countdown,normal,_N/A,PRA 18-54 GS 1-4,3.196759,2.000000,METEO,INFORMATION,METEO,LE 13H00,INFORMATION,JOURNAL TELEVISE,45
TV,UNE,FI18,20230203,17:16:25,Off prime,Ecran billboard,bb,_N/A,18-64,1.058824,null,Alice Nevers  ep 74 à 83,FICTION,SERIE,Alice Nevers  ep 74 à 83,FICTION,SERIE,10
"TV,UNE,NW3,20240105,20:10:30,Prime,Ecran normal,normal,_N/A,FEM 18-34,1.840860,2.250000,METEO,INFORMATION,METEO,""Laurent, un prince à l'écart"",DIVERTISSEMENT,MAGAZINE,150"
TV,UNE,SOC,20210308,22:55:38,Off prime,Ecran normal,inner,_N/A,15+,2.501929,2.510000,Baby phone,FICTION,FILM,Baby phone,FICTION,FILM,180
TV,UNE,FI26,20210505,18:25:59,Off prime,Ecran billboard,bb,_N/A,18-54 GS 1-4,0.913761,null,DEMAIN NOUS APPARTIENT,FICTION,SERIE,DEMAIN NOUS APPARTIENT,FICTION,SERIE,10
TV,UNE,NW2,20210122,20:15:00,Prime,Ecran normal,normal,_N/A,15-34,2.289188,1.260000,SEQUENCE,AUTRES,SEQUENCE,METEO,INFORMATION,METEO,135
TV,UNE,DC3,20210217,22:36:42,Off prime,Ecran billboard,bb,_N/A,15-34,1.265000,null,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,Itinéraire d'un enfant placé,DIVERTISSEMENT,DOCUMENTAIRE,10
TV,UNE,MZ4,20220628,14:49:17,Off prime,Ecran billboard,bb,_N/A,25-54 GS1-4,1.150564,null,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,AFFAIRE CONCLUE,DIVERTISSEMENT,MAGAZINE,10
