date,income
5/22/2018,80606
5/23/2018,38443
5/24/2018,64591
5/25/2018,44139
5/26/2018,136539
5/27/2018,55654
5/28/2018,407561
5/29/2018,177975
5/30/2018,82426
5/31/2018,84087
6/1/2018,235920
6/2/2018,79396
6/3/2018,72925
6/4/2018,166010
6/5/2018,62126
6/6/2018,57926
6/7/2018,177318
6/8/2018,74294
6/9/2018,372953
6/10/2018,105001
6/11/2018,82501
6/12/2018,80266
6/13/2018,54335
6/14/2018,43937
6/15/2018,37043
6/16/2018,31302
6/17/2018,30122
6/18/2018,28142
6/19/2018,23677
6/20/2018,23813
6/21/2018,23576
6/22/2018,27190
6/23/2018,21520
6/24/2018,27136
6/25/2018,32310
6/26/2018,39287
6/27/2018,26781
6/28/2018,26333
6/29/2018,50297
6/30/2018,45394
7/1/2018,55269
7/2/2018,639147
7/3/2018,163152
7/4/2018,88640
7/5/2018,68418
7/6/2018,61114
7/7/2018,52249
7/8/2018,47584
7/9/2018,43429
7/10/2018,65230
7/11/2018,39064
7/12/2018,30484
7/13/2018,26914
7/14/2018,22816
7/15/2018,22184
7/16/2018,26051
7/17/2018,21822
7/18/2018,22993
7/19/2018,25296
7/20/2018,27008
7/21/2018,20950
7/22/2018,22610
7/23/2018,21922
7/24/2018,19220
7/25/2018,17498
7/26/2018,20706
7/27/2018,29590
7/28/2018,19750
7/29/2018,20874
7/30/2018,33508
7/31/2018,60281
8/1/2018,42382
8/2/2018,28069
8/3/2018,20063
8/4/2018,51025
8/5/2018,49760
8/6/2018,36031
8/7/2018,32057
8/8/2018,22211
8/9/2018,22596
8/10/2018,18658
8/11/2018,15968
8/12/2018,14363
8/13/2018,14897
8/14/2018,14333
8/15/2018,13701
8/16/2018,14835
8/17/2018,13996
8/18/2018,12374
8/19/2018,12930
8/20/2018,12393
8/21/2018,11916
8/22/2018,12304
8/23/2018,12859
8/24/2018,13579
8/25/2018,11137
8/26/2018,10648
8/27/2018,12154
8/28/2018,12841
8/29/2018,13734
8/30/2018,16582
8/31/2018,14977
9/1/2018,11720
9/2/2018,11385
9/3/2018,12043
9/4/2018,11697
9/5/2018,13027
9/6/2018,13948
9/7/2018,16493
9/8/2018,13966
9/9/2018,13106
9/10/2018,11675
9/11/2018,11785
9/12/2018,15525
9/13/2018,14092
9/14/2018,14091
9/15/2018,17825
9/16/2018,16123
9/17/2018,18192
9/18/2018,14090
9/19/2018,15726
9/20/2018,17897
9/21/2018,17237
9/22/2018,14350
9/23/2018,15098
9/24/2018,18223
9/25/2018,26947
9/26/2018,19262
9/27/2018,17562
9/28/2018,16268
9/29/2018,15475
9/30/2018,16716
10/1/2018,27039
10/2/2018,15470
10/3/2018,22382
10/4/2018,17206
10/5/2018,16992
10/6/2018,16459
10/7/2018,15306
10/8/2018,13281
10/9/2018,14931
